"","LSOA code","LSOA name","LAD code","LAD name","ITL1 code","ITL1 name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","GEOGRAPHY_NAME","OBS_VALUE"
"54","E01012007","Middlesbrough 012A","E06000002","Middlesbrough","TLC","North East (England)",7.404059022,8.058091112,8.524761586,8.989140581,9.502514945,9.805512753,10.72171316,11.60097424,11.56591666,12.3042762,12.33971176,13.02693995,13.47257852,13.43617448,14.02257931,16.72993726,10.00422251,8.800336322,9.718903535,10.0667265,10.01755206,10.23768176,10.96848476,"Middlesbrough 012A",349
"55","E01012008","Middlesbrough 012B","E06000002","Middlesbrough","TLC","North East (England)",2.337039289,2.428762659,2.368476161,2.261274075,2.055795567,1.758169279,1.880175378,2.285864209,2.52714736,2.573183588,2.596956808,2.607830757,2.284900606,2.416123539,2.529858629,2.711333489,2.790415423,3.15714422,3.407607701,3.647908938,4.010225616,3.746587395,3.735226463,"Middlesbrough 012B",119
"56","E01012009","Middlesbrough 012C","E06000002","Middlesbrough","TLC","North East (England)",4.833019789,5.297077478,5.46656457,5.5850498,5.558904881,5.736043169,6.740915753,8.029025893,8.267828753,7.96811525,8.161787545,8.472842294,7.989064953,8.459537788,8.038903397,6.312121148,6.747035507,7.761492414,9.595087569,10.07921875,15.81037412,21.83778408,24.47443852,"Middlesbrough 012C",267
"57","E01012010","Middlesbrough 012D","E06000002","Middlesbrough","TLC","North East (England)",9.488568796,10.37388092,10.74119468,11.07437463,11.44630299,11.61109669,12.67043442,13.60555179,14.16823392,14.75530534,14.66036324,15.65177736,15.67518163,15.53522287,17.09865067,18.3904641,18.04562745,17.43581112,18.20328288,18.04063533,19.37004288,10.73939661,12.23140943,"Middlesbrough 012D",364
"58","E01012011","Middlesbrough 008A","E06000002","Middlesbrough","TLC","North East (England)",7.605320133,8.931178612,8.640330281,8.363240424,10.54811326,10.73851883,14.61811305,15.74391766,14.16211558,15.19681268,15.54773165,14.91850631,14.11709644,16.95809877,17.46204758,16.39243076,14.47911647,18.29189263,16.763123,14.17606023,10.34372924,10.82420731,8.841945479,"Middlesbrough 008A",453
"59","E01012012","Middlesbrough 008B","E06000002","Middlesbrough","TLC","North East (England)",2.371828069,2.467217475,2.416732155,2.335926467,2.182326337,1.914472307,2.037405765,2.396806031,2.652189145,2.700651559,2.729005704,2.746318777,2.458431683,2.556630565,2.66552382,2.788507667,3.047290505,3.985586842,4.27008284,3.488412024,4.563858012,5.208529056,4.504034755,"Middlesbrough 008B",174
"60","E01012013","Middlesbrough 008C","E06000002","Middlesbrough","TLC","North East (England)",3.366879685,3.555030851,3.637233681,3.688498586,3.655799208,3.51243359,3.789145753,4.260361382,4.407515188,4.549688366,4.445105922,4.482803177,4.292518079,4.376102405,4.523231697,3.810271361,3.336927711,2.450482942,2.38184237,2.269629598,3.435236329,3.614923964,3.421924497,"Middlesbrough 008C",345
"61","E01012014","Middlesbrough 008D","E06000002","Middlesbrough","TLC","North East (England)",9.782040497,10.55448509,11.30946218,11.73401299,12.6075788,14.0477375,15.54256747,16.75978377,17.16334041,18.15143378,18.24793604,20.00454783,20.23610248,20.89995046,20.98825954,23.64478855,22.67800165,22.62532362,27.51121859,23.68713899,29.1243642,24.81182379,21.17928921,"Middlesbrough 008D",660
"62","E01012015","Middlesbrough 007A","E06000002","Middlesbrough","TLC","North East (England)",3.041785275,3.279711753,3.429937837,3.390075513,3.419519051,3.629631385,3.864113392,4.347511213,4.71572526,5.091154461,5.082124969,5.004349104,4.635847351,4.91346629,5.002680288,5.374763568,14.62653963,14.38873695,8.240515675,6.67802768,4.064946721,3.987598406,3.096614829,"Middlesbrough 007A",318
"63","E01012016","Middlesbrough 007B","E06000002","Middlesbrough","TLC","North East (England)",8.818550506,9.942954616,10.60811927,11.12979309,12.04742593,12.66258183,13.79156664,14.85640096,14.55272284,15.51060077,15.25177348,16.16475168,16.63138521,16.81244273,17.18024593,16.56440345,17.35160606,18.03250454,19.2851513,16.08803948,18.97274832,19.97330863,19.91084083,"Middlesbrough 007B",448
"64","E01012017","Middlesbrough 007C","E06000002","Middlesbrough","TLC","North East (England)",7.461698557,8.143552963,8.239646167,8.630084451,9.282702246,9.36760491,10.48677158,11.10353422,11.20149512,11.72735949,11.88873204,12.22411276,12.32040108,12.60147542,13.12883059,13.61514065,12.2793286,12.06754068,11.1958676,12.52722014,14.21359404,14.61993828,13.36953849,"Middlesbrough 007C",377
"65","E01012018","Middlesbrough 011A","E06000002","Middlesbrough","TLC","North East (England)",81.59832259,86.96298244,92.961134,94.45298001,97.89478583,71.04424875,77.78556188,85.89552217,91.61469213,104.4749034,107.7250829,103.3733992,102.6147469,164.2421891,174.8514754,157.5562649,172.7836932,316.3637436,340.0941287,386.3273119,393.5684388,423.500585,511.7035759,"Middlesbrough 011A",8239
"66","E01012019","Middlesbrough 011B","E06000002","Middlesbrough","TLC","North East (England)",81.59832259,86.96298244,92.961134,94.45298001,97.89478583,71.04424875,77.78556188,85.89552217,91.61469213,104.4749034,107.7250829,103.3733992,102.6147469,164.2421891,174.8514754,157.5562649,172.7836932,0.115377191,0.111549862,0.117188755,0.136000646,0.156189543,6.160069037,"Middlesbrough 011B",56
"67","E01012020","Middlesbrough 011C","E06000002","Middlesbrough","TLC","North East (England)",3.284638301,3.545014617,3.659954391,3.766607505,3.8490702,3.85322505,4.216995349,4.652578832,4.785883457,5.004172187,5.015979476,5.270549533,5.313781135,5.366665552,5.611317622,5.616002868,5.861132181,5.515173246,5.36976231,5.562536072,2.363353519,2.342540202,6.160069037,"Middlesbrough 011C",331
"68","E01012021","Middlesbrough 011D","E06000002","Middlesbrough","TLC","North East (England)",4.363245916,4.861323704,5.12635469,5.471033573,5.876928235,71.04424875,77.78556188,85.89552217,91.61469213,104.4749034,107.7250829,103.3733992,102.6147469,8.154892482,8.496916695,9.932953912,11.18580483,11.99769425,10.42662723,10.36429361,10.77300409,15.84950094,6.160069037,"Middlesbrough 011D",555
"69","E01012022","Middlesbrough 015A","E06000002","Middlesbrough","TLC","North East (England)",4.290389001,4.268063349,4.226651786,4.198581331,4.141103024,4.154842323,4.329338043,4.784967961,5.034382646,5.104962838,5.021879213,5.044616873,4.877912235,4.989938187,4.669257146,4.039698578,5.022109236,7.180733721,7.47591966,7.256040931,8.71807008,9.127384377,9.039411464,"Middlesbrough 015A",196
